User,compound,date,negative,neutral,positive,screen_name,text,tweet_id
@BBCNews,0.4767,Fri Oct 05 16:10:58 +0000 2018,0.0,0.744,0.256,z1tan,RT @BBCNews: Have the Tories improved on social media? https://t.co/7ZpsQDFXHg,100
@BBCNews,0.0,Fri Oct 05 16:10:56 +0000 2018,0.0,1.0,0.0,beccalamjig,RT @BBCNews: Independence on the table after #Brexit - Plaid's Price https://t.co/01Tk6XMRjb,99
@BBCNews,-0.7351,Fri Oct 05 16:10:53 +0000 2018,0.265,0.735,0.0,tavis_mc,"RT @mykilmarnock: One of my recent tweets criticising BBC bias ended with the line...

 ""Shame on @BBCNews .. AGAIN.""

It got...
More than…",98
@BBCNews,-0.802,Fri Oct 05 16:10:46 +0000 2018,0.291,0.709,0.0,News_Resource,RT @BBCNews: William Billingham sentenced to life in jail with a minimum term of 27 years after being found guilty of murdering his eight-y…,97
@BBCNews,0.0,Fri Oct 05 16:10:37 +0000 2018,0.0,1.0,0.0,JoinedU1,RT @alexander_minh: @RightsTruth @sarasiobhan @neilgchurchill @C7RKY @Imonlyslightly @marionste @ashkarmstrong @ZedTrafficker @kateheydonor…,96
@BBCNews,0.6476,Fri Oct 05 16:10:36 +0000 2018,0.0,0.791,0.209,PrimoAnalytics,"In these days of #robots #VR and #AR it is nice to share a story about #puppets!
Via @BBCNews
Liverpool Giants: Hug… https://t.co/FqWsMqiPf1",95
@BBCNews,-0.0701,Fri Oct 05 16:10:24 +0000 2018,0.14,0.732,0.128,kevmichaelfitz,@t2stu @HubNutVids @BBCNews @Toyota has not been brilliant in the 🇺🇸 with the #Takata #airbag #recall.… https://t.co/uKDyFjfY65,94
@BBCNews,-0.7684,Fri Oct 05 16:10:20 +0000 2018,0.212,0.788,0.0,richtilney,"RT @decappeal: The #tsunami has already hit Indonesia, but a bigger disaster may be coming.

We need to act now. To donate: https://t.co/Kt…",93
@BBCNews,0.0,Fri Oct 05 16:10:17 +0000 2018,0.0,1.0,0.0,alicia19671,RT @alicia19671: @BBCNews #WeTheAmericanPeople #WeKnowAboutYourLies  #UKAndAustralia  To Try and Take Down Are @POTUS #PainIsComing  #Justi…,92
@BBCNews,0.0,Fri Oct 05 16:10:16 +0000 2018,0.0,1.0,0.0,Zoompad,RT @MooskelTomTom: @stendec6 @MagnaCarta300 @cpskeetmom @YVMatters @phsothefacts @RightsTruth @willcpowell @alexander_minh @DanielBayley80…,91
